benchmark,l1accesses,l1_misses,l1_miss_rate
ammp_default.txt,15474320,1716940,0.1110
applu_default.txt,16741871,801188,0.0479
apsi_default.txt,22446689,3809628,0.1697
art_default.txt,18635830,7735708,0.4151
bzip_default.txt,16792391,12648,0.0008
crafty_default.txt,19506853,512871,0.0263
equake_default.txt,18071117,12229,0.0007
fma3d_default.txt,9571713,12280,0.0013
galgel_default.txt,2520481,19868,0.0079
gap_default.txt,30543749,2717973,0.0890
gcc_default.txt,22929582,383685,0.0167
gzip_default.txt,17107377,645128,0.0377
lucas_default.txt,9473688,65931,0.0070
mcf_default.txt,41071424,3571430,0.0870
mesa_default.txt,17942484,2238,0.0001
mgrid_default.txt,18355711,1594761,0.0869
parser_default.txt,23793533,124239,0.0052
swim_default.txt,12164457,128200,0.0105
twolf_default.txt,17695033,730986,0.0413
vortex_default.txt,22240673,427497,0.0192
